0.4	2.876587043867644e-26
0.405	5.166868140970032e-26
0.41000000000000003	9.158625178826023e-26
0.41500000000000004	1.6020267727416922e-25
0.42	2.763843373713892e-25
0.425	4.7105143026768235e-25
0.43	7.931226732933435e-25
0.435	1.318027433725047e-24
0.44	2.168002292663288e-24
0.445	3.528232774225361e-24
0.45	5.6814285953089276e-24
0.455	9.035000240941932e-24
0.46	1.4287557250487646e-23
0.465	2.228933387711675e-23
0.47000000000000003	3.4522351414267834e-23
0.47500000000000003	5.2920754221767595e-23
0.48	8.05208134792647e-23
0.485	1.213527800725659e-22
0.49	1.8128480470955875e-22
0.495	2.6923167365847928e-22
0.5	3.958025976377512e-22
0.505	5.78481057365186e-22
0.51	8.386904499933304e-22
0.515	1.207839080154989e-21
0.52	1.7259856376811007e-21
0.525	2.4518750894512366e-21
0.53	3.465375550750926e-21
0.535	4.852571520996168e-21
0.54	6.774610102846066e-21
0.545	9.367109535073354e-21
0.55	1.2906785243001578e-20
0.555	1.7687017006934624e-20
0.56	2.412704457517731e-20
0.5650000000000001	3.2625216430034944e-20
0.5700000000000001	4.404830167482639e-20
0.5750000000000001	5.902411404095759e-20
0.58	7.882412470310218e-20
0.585	1.0481051968433816e-19
0.59	1.3840923768587095e-19
0.595	1.8206353740981854e-19
0.6	2.3859477010198777e-19
0.605	3.110324678049406e-19
0.61	4.039972206025184e-19
0.615	5.222429454745722e-19
0.62	6.728913751118839e-19
0.625	8.6380886811138065e-19
0.63	1.1028120567070194e-18
0.635	1.403860916088131e-18
0.64	1.7801841744666006e-18
0.645	2.2524043047979584e-18
0.65	2.8376999622074863e-18
0.655	3.561680507519543e-18
0.66	4.455878483630762e-18
0.665	5.554995667758487e-18
0.67	6.912541926613934e-18
0.675	8.548626938178641e-18
0.68	1.0561495626068315e-17
0.685	1.301685947648931e-17
0.6900000000000001	1.5968409059344064e-17
0.6950000000000001	1.9547994518835057e-17
0.7000000000000001	2.3874175385198762e-17
0.705	2.9065394636105164e-17
0.71	3.5307040282843185e-17
0.715	4.2754228913668967e-17
0.72	5.158699544529165e-17
0.725	6.216388462647903e-17
0.73	7.474519371621151e-17
0.735	8.96437148849825e-17
0.74	1.0717437656832674e-16
0.745	1.2778829950765898e-16
0.75	1.5207050619529953e-16
0.755	1.8079319467944496e-16
0.76	2.1414962830415905e-16
0.765	2.536744142296006e-16
0.77	2.9954158162432485e-16
0.775	3.520526583131584e-16
0.78	4.1412189982396363e-16
0.785	4.859406827318614e-16
0.79	5.683828689597918e-16
0.795	6.64092087948284e-16
0.8	7.740522662779738e-16
0.805	9.01239517550507e-16
0.81	1.0485591870639459e-15
0.8150000000000001	1.2153508626896498e-15
0.8200000000000001	1.4065135203275903e-15
0.8250000000000001	1.62757278195439e-15
0.8300000000000001	1.877241035739541e-15
0.835	2.1614046677269576e-15
0.84	2.486492750869655e-15
0.845	2.8519167870525788e-15
0.85	3.2723048983713756e-15
0.855	3.743435424940238e-15
0.86	4.279730284507037e-15
0.865	4.886892373294174e-15
0.87	5.5677799662023786e-15
0.875	6.334609002370032e-15
0.88	7.198152327043528e-15
0.885	8.16863624464196e-15
0.89	9.24630973083708e-15
0.895	1.0477837139423877e-14
0.9	1.1829176502759576e-14
0.905	1.3342620315534597e-14
0.91	1.5043767643544953e-14
0.915	1.691549173827551e-14
0.92	1.9041068131502012e-14
0.925	2.1386871520474155e-14
0.93	2.399193212658015e-14
0.935	2.6833362139643215e-14
0.9400000000000001	3.0077306995113614e-14
0.9450000000000001	3.3590822003787746e-14
0.9500000000000001	3.7510234414990223e-14
0.9550000000000001	4.1794872963983335e-14
0.96	4.6598063191180396e-14
0.965	5.184294317644055e-14
0.97	5.759840882968624e-14
0.975	6.393719849495923e-14
0.98	7.09156832603383e-14
0.985	7.86705328641863e-14
0.99	8.699122489256384e-14
0.995	9.609626148436099e-14
1.	1.0631478685523424e-13
1.0050000000000001	1.1730445321437124e-13
1.01	1.29517764565823e-13
1.0150000000000001	1.426585933781108e-13
1.02	1.5685568491182374e-13
1.025	1.7252516891608815e-13
1.03	1.894555964163199e-13
1.035	2.082234944708915e-13
1.04	2.279886572915297e-13
1.045	2.502737952989472e-13
1.05	2.73687194397909e-13
1.055	2.997852235233268e-13
1.06	3.2732221283882303e-13
1.065	3.575747421122101e-13
1.07	3.904087867834073e-13
1.075	4.2580525862963516e-13
1.08	4.64122739258208e-13
1.085	5.050891115466012e-13
1.09	5.502769188333557e-13
1.095	5.975833368083417e-13
1.1	6.494953688057947e-13
1.105	7.044450840273199e-13
1.11	7.650370972265085e-13
1.115	8.294815368514023e-13
1.12	8.977320781505468e-13
1.125	9.722318393166417e-13
1.1300000000000001	1.0519898177369652e-12
1.135	1.1380578883207535e-12
1.1400000000000001	1.2281472423728279e-12
1.145	1.3264963634753632e-12
1.1500000000000001	1.4311390143533443e-12
1.155	1.5440656245896267e-12
1.16	1.6643613378631096e-12
1.165	1.7915057798542106e-12
1.17	1.926484196012198e-12
1.175	2.0759349506797446e-12
1.18	2.2306811161545076e-12
1.185	2.3952199278262244e-12
1.19	2.575286137685717e-12
1.195	2.761902592608361e-12
1.2	2.964708032174176e-12
1.205	3.1752360500361014e-12
1.21	3.4016070128915472e-12
1.215	3.644154615139578e-12
1.22	3.906680333500271e-12
1.225	4.176213378371802e-12
1.23	4.460740137800344e-12
1.235	4.762990322371134e-12
1.24	5.093411076053073e-12
1.245	5.432973134149197e-12
1.25	5.795305220628921e-12
1.2550000000000001	6.178140662917157e-12
1.26	6.590954997391267e-12
