0.4	9.846437017276116e-38
0.405	2.4302300137542107e-37
0.41000000000000003	5.864577722030915e-37
0.41500000000000004	1.3858905693457795e-36
0.42	3.207779165792036e-36
0.425	7.287535061805038e-36
0.43	1.626480797435576e-35
0.435	3.554957234111738e-35
0.44	7.645022441843911e-35
0.445	1.6164761262993615e-34
0.45	3.3656052350848176e-34
0.455	6.875358989979649e-34
0.46	1.3858836177584237e-33
0.465	2.7518171836903034e-33
0.47000000000000003	5.387191513088307e-33
0.47500000000000003	1.039055277212017e-32
0.48	1.9801960267573575e-32
0.485	3.718961108150997e-32
0.49	6.905410978590819e-32
0.495	1.2664881252073332e-31
0.5	2.2913235634023484e-31
0.505	4.101129983425996e-31
0.51	7.257015085181531e-31
0.515	1.271178540897537e-30
0.52	2.2018910744825084e-30
0.525	3.7745356711796716e-30
0.53	6.413001140740691e-30
0.535	1.0773195608292271e-29
0.54	1.7947679968113923e-29
0.545	2.959105668045397e-29
0.55	4.8332650483416447e-29
0.555	7.810235939660156e-29
0.56	1.2594074917322527e-28
0.5650000000000001	2.0071991583926643e-28
0.5700000000000001	3.17561778246388e-28
0.5750000000000001	4.974817519969227e-28
0.58	7.739227053071455e-28
0.585	1.1959820542295823e-27
0.59	1.837786229322251e-27
0.595	2.797013207287033e-27
0.6	4.234112208687307e-27
0.605	6.359504669263409e-27
0.61	9.477292053151782e-27
0.615	1.407923681839206e-26
0.62	2.0723601159161624e-26
0.625	3.0345076425014734e-26
0.63	4.41986227130333e-26
0.635	6.397022626675294e-26
0.64	9.238587355904046e-26
0.645	1.3173179760123055e-25
0.65	1.8757580158784432e-25
0.655	2.6557179771209147e-25
0.66	3.7434410398922546e-25
0.665	5.245045186560567e-25
0.67	7.313187982131685e-25
0.675	1.0145851303680514e-24
0.68	1.4029488108755365e-24
0.685	1.9285115234159675e-24
0.6900000000000001	2.6397767207992445e-24
0.6950000000000001	3.597284186699149e-24
0.7000000000000001	4.883662485735335e-24
0.705	6.593801491428736e-24
0.71	8.861483008249108e-24
0.715	1.1875620551428443e-23
0.72	1.5866429289459498e-23
0.725	2.1099696195394592e-23
0.73	2.7934715222924665e-23
0.735	3.6849080067956465e-23
0.74	4.8448709720787147e-23
0.745	6.342204173166041e-23
0.75	8.273675762522906e-23
0.755	1.076074339005698e-22
0.76	1.3955764375677197e-22
0.765	1.8016748131831552e-22
0.77	2.3209547847309818e-22
0.775	2.9809655542929124e-22
0.78	3.813702193430964e-22
0.785	4.865016320299847e-22
0.79	6.196608674526987e-22
0.795	7.8431291256141885e-22
0.8	9.929370760492021e-22
0.805	1.250636060241772e-21
0.81	1.5717263131250669e-21
0.8150000000000001	1.9695741743053433e-21
0.8200000000000001	2.464421635917731e-21
0.8250000000000001	3.075319792897303e-21
0.8300000000000001	3.819334073492133e-21
0.835	4.738307842641212e-21
0.84	5.8688391843495615e-21
